Scientific Name,Status
Aguriahana stellulata,Only in Natuurpunt
Agyneta conigera,Only in Natuurpunt
Agyneta decora,Only in Natuurpunt
Agyneta fuscipalpa,Only in Natuurpunt
Agyneta ramosa,Only in Natuurpunt
Agyneta rurestris,Only in Natuurpunt
Agyneta saxatilis,Only in Natuurpunt
Agyneta subtilis,Only in Natuurpunt
Agyrtes bicolor,Only in Natuurpunt
Aidemosyne modesta,Only in Natuurpunt
Ailanthus altissima,Only in Natuurpunt
Aira caryophyllea,Only in Natuurpunt
Aira praecox,Only in Natuurpunt
Aix galericulata,Only in Natuurpunt
Aix sponsa,Only in Natuurpunt
Ajuga chamaepitys,Only in Natuurpunt
Ajuga pyramidalis,Only in Natuurpunt
Akebia quinata,Only in Natuurpunt
Alabonia geoffrella,Only in Natuurpunt
Alainites muticus,Only in Natuurpunt
Alaudala rufescens,Only in Natuurpunt
Albizia julibrissin,Only in Natuurpunt
Alboglossiphonia heteroclita,Only in Natuurpunt
Albotricha acutipila,Only in Natuurpunt
Albugo candida,Only in Natuurpunt
Albugo hohenheimia,Only in Natuurpunt
Albugo lepidii,Only in Natuurpunt
Alburnoides bipunctatus,Only in Natuurpunt
Alburnus alburnus,Only in Natuurpunt
Alca torda,Only in Natuurpunt
Alcea ficifolia,Only in Natuurpunt
Alcea rosea,Only in Natuurpunt
Alcea rugosa,Only in Natuurpunt
Alchemilla acutiloba,Only in Natuurpunt
Alchemilla filicaulis,Only in Natuurpunt
Alchemilla glabra,Only in Natuurpunt
Alchemilla glaucescens,Only in Natuurpunt
Alchemilla micans,Only in Natuurpunt
Alchemilla mollis,Only in Natuurpunt
Alchemilla monticola,Only in Natuurpunt
Alchemilla xanthochlora,Only in Natuurpunt
Alcis bastelbergeri,Only in Natuurpunt
Alcis repandata,Only in Natuurpunt
Alcyonidioides mytili,Only in Natuurpunt
Alcyonidium condylocinereum,Only in Natuurpunt
Alcyonidium diaphanum,Only in Natuurpunt
Alcyonidium gelatinosum,Only in Natuurpunt
